真是花中瑞|本朝名始闻|江南一梦后|天下遇清芬
相逢无酒恨如酣|九市三玄俱不谈|秋雨迢迢催客别|别情雨色已江南
江南江北霏霏雨|渔榜渔罾短短篱|斜出一枝青鸟外|东风掩映水仙祠
朝寻白云去|暮将白云归|寥寥穷巷中|悬灯未掩扉
家住清溪口|门掩清溪树|溪上多白云|幽人自来去
翠璧层层合|高松飒飒寒|白云昼不扫|常满石阑干
鹤岭翠微分|山行半白云|停骖不忍去|前路市声闻
青山如佳人|白云如游龙|佳人节不移|游龙去无踪
放鹤人何在|孤亭横翠微|客来亭上坐|惟见白云飞
冉冉花明岸|涓涓水绕山|几时抛俗事|来共白云闲
白云封不住|碧树吐奇滋|相看两无语|各是会心时
已作一宿客|渐为千里人|吾亲白云下|回首一沾巾
路作两岐分|亭多聚白云|无心本无恋|于此尚纷纷
莫把层楼倚|楼高接远天|东风乡国路|直在白云边
仙山多白云|渺与天汉接|何当持赠人|秋风同一叶
遥望西山岑|白云日归去|驱马向山中|不见云宿处
日落风欲静|鸟啼人自闲|白云如解事|成雨便归山
家住铜官山|山亭翳修竹|主人游未归|白云满幽谷
白云每亭亭|其出亦何心|贤侯考之天|无谓由蹄涔
朝卧白云东|暮卧白云西|白云长共我|此地结幽栖
青山在屋下|白云在高岭|身在白云中|那识云千顷
白云如幽人|出山本无期|朝来抱幽石|五峰成五芝
欲识渊明家|离离疏柳下|中有白云人|良非遁世者
云来山有衣|云去山呈骨|白云自有无|万古山常兀
不二是法门|悟者阿罗汉|一枝青琅玕|孤峰白云涧
山头出白云|瀑布洒飞雨|可人期不来|目断潇湘浦
被酒朝初醒|蒙龙月渐稀|开门何所见|惟有白云飞
磐石傍幽溪|群峰坐回首|静爱白云来|苍苔湿衣久
轩中多白云|霏霏日如雾|风吹散又生|更宿檐前树
放浪诗骚外|尘心炼到空|白云开夜观|海月冷松风
游子归心切|慈亲望眼空|白云千里意|瘦策倚秋风
吾恐孤山孤|夜踏白云语|此中犹有人|明月未须去
偶然白云至|辉辉两相向|下有暗泉流|呼作云根嶂
看松坐危石|瀹茗爨枯箨|振衣下山去|白云满幽壑
松响翩清籁|泉声浣俗尘|白云堪赠客|明月解留人
昔向寒溪卧|远寺撞白云|今也趋早朝|残月马上闻
酌酒月为伴|开门山近人|白云湛江色|碧草弄湖春
不到禅扉久|灵花又早秋|白云飞欲去|还被远公留
长松撑白云|偃蹇几千载|而我能几何|松雪镇长在
秋思嗟离索|行寻旧隐栖|白云随杖屦|飞过画桥西
菁茅葺成宇|白云拥为户|是中有定僧|默坐自朝暮
闲坐青松阴|遥看白云起|白云如孤峰|半落青松里
白云在空山|还望山中客|聊持一片心|惆怅千峰隔
琳宫逼太虚|石树团清影|怅望白云仙|日沉九芝岭
黄叶因风下|甘从洛浦隈|白云何所为|还出帝乡来
古琴调古调|今人谁爱闻|独往山中去|因声寄白云
闲随白云游|静对白云语|只恐出山来|白云竟无主
秀色分齐鲁|高峰表岱宗|秦碑如尚在|欲破白云封
骑马不如昔|寻僧怯上船|山中农务息|怀抱白云眠
白云不出户|为我含精华|所恐风吹去|离离成海霞
朝看白云去|暮骑黄犊归|山穷桥断处|鹭鸶那得知
旭日上东峰|山人睡正浓|洞门无锁钥|长是白云封
行憩苍石上|坐爱青松阴|白云在天际|相对总无心
旧山诸隐沦|身在苦无身|莫锁白云路|白云多误人
石室月已满|青林人未眠|向月步溪水|白云遥在天
乘闲访隐君|黄叶路斜分|惊犬知生客|穿篱吠白云
白云埋大壑|阴崖滴夜泉|应居西石室|月照山苍然
自古多如此|君今独奈何|可来白云里|教汝紫芝歌
鹤发兮倚闾|山空兮夕晖|白云兮髣髴|游子兮其归
眼看沧海近|身与白云高|回影连三岛|盘根压六鳌
四山藏一寺|方丈压诸峰|回首坐禅处|白云深几重
淼淼寒流广|苍苍秋雨晦|君问终南山|心知白云外
隔岭望丛筠|方塘宿白云|客心清不寐|弦诵夜深闻
一自飞仙去|迢遥白云上|岁岁春风来|满山青草长
孤柝那堪夜|垂杨不肯春|白云何处至|吾欲赠归人
朝随白云起|莫随白云卧|深林人影稀|兀然吾一个
冬眠不觉晓|开门见白云|云中何所有|童子两三人
重华不可作|雅乐尚堪闻|风动箫韶起|馀音袅白云
摄衣入空山|白云留我住|我欲卧白云|白云又飞去
青青山上松|缭之以白云|云山不可到|图画只空闻
斲石自何许|枕之怀赤城|空庐复蕙帐|旦暮白云生
身外留黄犊|山中耕白云|不随樵子去|无路得寻君
久向憨狮子|今来见影堂|白云何处去|闲却半间房
二室接浮丘|东来渡淮水|三花何处开|半在白云里
伊叟已先至|兴公犹未归|凭高东北望|一片白云飞
高卧不知处|花含古洞春|白云来借问|三诏彼何人
鼓吹传朱鹭|铙歌事已非|秋风荷叶底|憔悴白云衣
白云来轩户|清风生涧壑|山僧不管春|岩花开自落
石泉千古名|悠悠四时绿|清洁乃素心|白云一茅屋
古寺白云中|疏钟逗林樾|凌晨数杵来|敲落山上月
久静山容敛|秋凝野色凄|白云留绝𪩘|苍雾隔前溪
移家白云深|静枕清溪曲|日暮门不开|茶烟飏萝屋
欲上河阳郡|先来洞府游|白云满天地|红叶不知秋
野渡归人急|山原去骑遥|白云秋窅窅|红树雨萧萧
君为湘水燕|我作衡阳雁|雁去燕方留|白云草迷岸
偶来看青山|因对白云坐|此意同一闲|青山白云我
风劲叶频落|山高日易沈|坐中人不见|窗外白云深
昂空势不已|踞地何雄哉|白云遮不得|依旧山头来
牧童望远近|逐草白云隈|细雨牛羊外|村边蓑笠来
世事日可见|身名良蹉跎|尚瞻白云岭|聊作负薪歌
幽人爱青山|结屋空林里|夜深梦白云|明月在溪水
落景留空山|无人自来往|一片白云中|时闻樵语响
月色凉于水|高游人未眠|搅衣欲乘月|白云遥在天
岩芳敛空华|谷响答虚牝|坐看白云生|会得无生忍
水村枕山椒|白云作门幌|临溪獭伺鱼|鸡栖高树上
久坐大石上|青天行白云|野意道不得|幽鸟隔林闻
西风吹白云|冉冉来江浒|急鸟入青冥|忽作千家雨
夕卧白云合|朝起白云开|惟有心长在|不随云去来
松柏啼乌鸟|楸梧下鹤群|咫尺亲颜在|无劳望白云
濯濯霓裳湿|何人倚白云|莫将云里影|空向陌头分
白云随出没|精气化为龙|纵有陈蕃榻|南州不可逢
北风吹白云|万里渡河汾|心绪逢摇落|秋声不可闻
山楼本无梦|我自梦严州|严州谁梦我|白云天际流
一望一回头|白云千里秋|如何持别酒|只是送行舟
青山本无情|白云自来往|身在浮云中|仰看浮云上
古寺螺山上|登临恨未能|临风闲驻马|看破白云层
缘冈蹑丹崖|东风拂瑶草|飞鸟时往还|山间白云老
碧树障红尘|山亭多白云|清谈欣有伴|送酒可无人
不向东山久|蔷薇几度花|白云还自散|明月落谁家
解带白云中|来寻仙子宫|始知山顶上|容易得天风
身在此山中|闲情薄太空|行歌白云里|白云连崆峒
虚堂跨云巅|白云在林杪|绝顶不可穷|了了非了了
落日四山绕|空亭面面开|白云如有待|山人殊未来
四大既还本|一灵方到家|白云归洞府|明月落栖霞
胡髯抱嵌岩|白云拥万里|若弄华阳珠|我欲割左耳
白云入户牖|幽趣颇相关|俗远人无累|心夷物自闲
山寺寂无僧|空门白云冷|惟有寒松枝|悠然照潭影
湖中五老峰|去天不盈尺|涧底白云生|五老头俱白
慈竹村村种|鞭行不出林|吾亲在何许|回首白云深
月色窥人冷|梅花何处香|遥思栖隐客|高啸白云乡
四照罗城色|山窗纳白云|万峰曾不隔|遥揖武夷君
空山无四邻|闲扉映秋水|时有负樵人|唱歌白云里
千仞琅琊石|飞来镇越州|江波欲浮动|还被白云留
美人不可期|迢遥隔江浒|惟遣白云来|伴我幽栖处
终朝草堂上|独凭乌皮几|有时白云来|相见窗户里
吹箫凌极浦|日暮送夫君|湖上一回首|青山卷白云
轩楹越中秀|轩窗四面山|红尘飞不到|长共白云闲
白云何氤氲|流光不可掇|夜夜镜湖中|为予拂明月
磐石清泉下|能生隐者心|由来车马客|空羡白云深
乱石苍松径|蔼蔼春风和|白云不作雨|空占碧山阿
白云几曾散|却作一楼贮|明月夜夜来|无人敢携去
峭壁拥双扉|亭亭夹翠微|山灵虽解设|不禁白云飞
石室月既满|青林人未眠|带月步溪水|白云长在天
白云在山上|流水在屋下|此中自有人|请回俗士驾
空亭无人来|惟有白云过|山客扫孤峰|日日云中卧
前山多白云|可望不可即|惆怅山中人|遥遥似相识
松林有茅宇|白云往还来|山僧爱云好|柴门夜长开
一别情无限|愁心寄晚风|羡君佳句好|白云和难工
茅屋隔榆林|孤舟系柳阴|明时无逸客|谁在白云深
人家青树合|僧寺白云封|谁共诗翁坐|夕阳听晚钟
僧汲空山月|煮茗松下啜|桑苎今不来|白云自禅悦
荆棘铜驼陌|桑田碧海波|秋风歌濯足|归去白云多
人在白云处|舟在清溪曲|不闻欸乃声|但见山水绿
白云滃作团|回风吹不散|截置一钵中|与作山僧饭
江阔山容渺|天空树影微|孤舟明月夜|南望白云飞
山坳滃白云|天外挂红日|于中得少趣|翻嫌去帆疾
阴壑寒犹掞|空山响已沉|白云无路入|禅向定中深
君去何时归|山中春草夕|莫将白云庐|不及红尘陌
日观闻山钟|风烟几万重|飞倦如可觅|真蹑白云踪
琴罢月生渚|鹤归松满坡|葺亭无尸牖|应是白云多
幽栖寄山隈|欣赏亦何有|时许巢白云|纷然入窗牖
十年理芝畎|铁作青蛇文|复伴远游去|山山锄白云
灵岳乾坤秀|飞泉河汉垂|超然山水兴|身在白云涯
夜来北窗雨|萧萧竹偃扉|朝望城头山|白云湿不飞
举头望白云|𫖯首看流水|古之东郭生|悟彼北宫子
峭石状危屏|截断诸峰青|白云触不飞|仙掌空遗名
开门见东村|晨光尚蒙昧|白云何处来|适与予心会
灵石山前路|山深寺更深|不知明月去|空惜白云沉
白云闲似我|我似白云闲|二物俱无心|逍遥天地间
道人出白云|空岩为谁碧|独往谁得知|时有鹤一只
欲追蓟先生|白云迷其方|驴鞭不可执|寿与铜狄长
嘉树郁成阴|孤台眺苍莽|长笑似苏门|白云自来往
雨馀见梨山|双峰更叠出|白云绕山飞|半空青突兀
衰草绕山深|暗泉缘涧响|岧峣岭路高|白云随足长
南高何巍巍|北高何巉巉|登临人迹稀|白云时往还
白云澹忘归|川上气萧爽|鱼鸟来亲人|居然濠濮想
绿叶红英遍|仙经自讨论|偶移岩畔菊|锄断白云根
紫翠隐丹房|仙人在上方|欲往疑无路|白云封点苍
宾主分不分|颟顸绝异闻|解布劳生手|寄言来白云
风雨惜春残|新晴为启关|白云归去尽|还我旧青山
仙人有骐骥|长放白云中|坡前啄瑶草|犹胜老樊笼
我懒不出户|白云常在山|云应嗤我懒|我爱白云闲
飞花扫香雪|古台生白云|娑罗双树下|人去寂无闻
我梦在兰舟|晓从润州过|见竹过问主|白云正高卧
小圃固日涉|柴门常自关|此心无一事|应共白云闲
宴坐白云里|经行碧嶂中|游人穷不到|幽鸟自匆匆
空山白云堆|中有隐者居|悠然两无心|尘世将焉如
深居白云穴|幽意满山楹|风递幽香去|何人识此情
琼花散丹石|掩映临江阴|谁知枯落后|更有白云深
戴笠出东郊|白云如海涛|前村风雨急|溪水晚来高
千年流不竭|谷口气氤氛|莫是神龙窟|灵湫泻白云
青障矗林霏|白云映江水|何人出世心|嗒然隐吾几
素琴本无弦|白云本无心|虚舟在野外|知他浮与沉
何以散廓落|下山复上山|白云怀袖里|红树有无间
短筇穿白云|直上孤峰顶|下瞰六时崖|前临七折岭
醒时白云歌|醉作青海舞|笑迎圯上翁|竟与麋鹿聚
小艇溪边月|来寻万卷楼|遂初读书处|鹤去白云留
不触又不背|徒劳生拟议|开口更商量|白云千万里
英英白云懒|杳杳青溪暮|山僧不出门|残钟在深树
竹里起茶烟|白云堆满屋|何处桔槔声|园丁灌花木
英英白云华|采采六山秀|为问病维摩|此味清凉否
故国嘉山水|文溪带武峰|披图思不尽|亲舍白云重
心随白云远|亦随白云迟|欲随白云灭|白云无尽时
清溪转回环|石矶俯深碧|公来坐忘归|此意白云识
白云出孤峰|未雨自飞去|云出本无心|不为孤峰住
清晨偶出山|一衲挂枯树|向晚白云深|蒙茸不知处
征马自兹去|夕阳明北原|白云空满地|不肯锁江门
身在山水间|心在山水外|世无钟子期|白云兀相对
练尾飘纤素|霜衣绝点斑|风薰花不到|一片白云闲
多景栖红树|秋风落白云|捕鱼频得隽|惊鹭不成群
自去长干侧|终年桂岭西|新秋望乡处|无奈白云迷
别意写不尽|登高再送君|寂莫一分手|秋风吹白云
散发踞胡床|徐看白云过|时有鹿麋来|胡床相对坐
醉掬山先走|行呼月后随|欲眠梧影下|又恐白云知
移来十丈峰|虬鸾舞虚牖|面面白云生|终南亦何有
朝见白云纵|暮见白云横|不作及时雨|何为点太清
白云锁关门|森松更笼嵷|不纳寻源人|伊谁话真汞
陟彼白云径|径满白云时|践破白云迹|心与白云期
不踏乡山路|于今又几年|茅檐知不远|只在白云边
白云自何来|栖我山中树|愿为九夏凉|慎勿从龙去
素性耽林丘|卜此栖杖屦|一啸洞中天|白云任来去
高僧何代僧|葬骨两三层|不遣白云护|游人取次登
邈矣逃暗叟|高风不可亲|白云缄石室|留取付闲人
湖上峰争碧|此峰多白云|雪霜难辨色|鸥鹭亦迷群
禅居何所有|户牖白云分|直待谭玄后|相随花雨纷
白云如高人|择友尚傲世|朱门客三千|一点不可致
怅望登临日|大行山顶头|亲帏何处是|一片白云浮
一心贪与白云期|解带归来任所之|每过名山经月住|苏门山上更多时
蛟绡剪下碧双垂|归挹清流背紫微|北向更登孤岭去|此身还入白云飞
帘捲晴空独倚栏|冥鸿点点有无间|秋风注目无人会|时与白云相对閒
家山福地古云魁|一日三峰秀气回|会散宝珠何处去|碧岩南洞白云堆
独登高塔俯中州|一线黄河天外流|坐倚半空成浩啸|白云南去见嵩丘
万顷白云迷属玉|千章绿树唤仓庚|捲帘独自草堂坐|望入海天无限情
高台天畔白云关|蹑磴凌虚试一攀|寂寂讲经人去也|空馀清梵落人间
白云深处树重重|碧水光涵一镜空|世外红尘飞不到|祇消挥扇听松风
人归何事后春归|别絮离丝共落晖|楚水吴山无限思|枫林江上白云飞
小招提在白云层|古殿深龛锁昼灯|山北远公曾结社|至今犹有种莲僧
长安城外白云秋|萧索悲风灞水流|因想汉朝离乱日|仲宣从此向荆州
不相同处是同然|三十年来办一眠|何处白云堪作雨|白云封断白龙天
师怨白云相望久|撇然便欲揽征衣|其如飞雪能留客|不放禅翁及早归
楼阁连甍锁翠微|白云容与翳窗扉|悬崖瀑水自今古|笑问何人解息机
一樽聊接故人欢|百岁堪嗟鬓渐残|莫见白云容易爱|照湖澄碧四明寒
非蕉非苎复非𫄨|不是山人木叶衣|寄与诗翁莫嫌陋|看山长袖白云归
使君非是爱山闲|道在盈虚消息间|不见白云无一事|等闲为雨却归山
笑渠终日利名忙|谁似僧闲不出房|睡熟白云都不管|寺前松竹自苍苍
白云原上经行日|傍墓曾看草结庐|今日都门复相送|绿袍分教赴姑苏
石瓮灵泉胜宝井|汲人回挂青丝绠|厨烟半逐白云飞|当昼老僧来灌顶
仙郎天上佐飞龙|曾向丹邱寄远踪|留得亭前双玉舄|白云长护紫霞封
山头白云自往来|山腰白云团不开|共道山腰云更白|不知却是梅花堆
短笺封罢更重题|生怕苍头去路迷|说与不须多借问|葛庐祇在白云西
闽地高僧楚地逢|僧游蛮锡挂垂松|白云逸性都无定|才出双峰爱五峰
白云林下诵经寮|隔岸香风远更飘|欲就禅床吃茶处|倩人扶过木长桥
秋夜深深北送君|阴虫切切不堪闻|归舟明日毗陵道|回首姑苏是白云
高亭林表迥嵯峨|独坐秋宵不寝多|玉兔玉人歌里出|白云难似莫相和
白云湖上北风寒|茅屋萧条两鹖冠|我自能怜华不注|推窗君试雪中看
绿阴密处著危亭|佳气葱葱王武林|一片红尘飞不入|杜鹃啼处白云深
红尘飞尽白云生|一径深深草树平|丹灶已空仙去远|琳宫犹枕旧辽城
湘漓二水陇头分|一道飞流出白云|漓水不如湘水好|君行更为吊湘君
人没琴亡竹坞东|到来不与旧时同|白云秋石荒凉尽|空对寒山落木中
岁晚行人苦欲分|山昏水暮鸟寻群|舟行棹进空回首|一望苍梧但白云
逍遥蓬岛即仙都|范蠡功成亦五湖|此是泉翁超度法|倚阑曾见白云无
仙洞长年卧白云|灵丹成就养天真|汉庭轻为东宫出|应笑商山四老人
山头碧殿倚天开|去岁曾同仙客来|今日独过诗兴少|白云空绕牡丹台
高情雅韵三峰守|主领清光管白云|自笑亦曾为刺史|苏州肥腻不如君
侧身南望但依依|片席乘风去似飞|莫谓苍梧在天末|帝乡看逐白云归
不与红尘费梦思|白云流水有心期|吟君细与鸥盟句|病起全胜未病时
一叶漂摇扬子江|白云尽处是苏洋|便如伍子当年苦|只少行头宝剑装
疏竹寒梅对茗垆|白云明月此山孤|山前一带红尘路|从遣游人踏绿芜
九叠匡庐霄汉表|白云深护翠巑岏|绣衣使者经行处|写向霜台柏署看
青山影里人家少|绿树阴中石径微|偶出洞门回首望|白云何处有柴扉
桑落洲前秋兴孤|白云远见近还无|传闻酒吏经年罢|美酿家家得纵沽
平生活计都消尽|锥地殊无付子孙|撒手便辞青嶂去|翛然却返白云村
不须布袜与行缠|参得诸方五味禅|散尽白云见明月|虚空只是水中天
驷牡不遑王事盬|野人归去白云闲|人心万古同此理|城外青山即岘山
中原万树带秋阴|陵寝苍茫一气深|龙驭杳然归太始|蓍丛犹发白云岑
高斋卧理簿书闲|掾吏裁诗日往还|片月不离桐柏水|白云偏傍弋阳山
我是白云云是我|自知云我不须分|时人若问山翁意|看取山头一片云
无终有国已难寻|洞口谁为梁甫吟|一片白云飞不去|徘徊似识主人心
下临诸塞上摩空|百丈天桥一径通|可怪两人俱好事|夜深曾到白云中
一锡南飞度碧空|宝坊遥在白云中|定知门外青松树|别后新枝已向东
黄溪茶种有闽风|忆昨缄封自赞公|筠焙久空青箬里|纸囊盍寄白云中
一峰高出白云端|俯瞰天涯千万山|试向冈头转圆石|不知何日到人间
白云深处闲人少|惟有希夷似不群|今日高眠千丈顶|远书休遣递飞云
廿年残牍苦频盈|夙蠹谁将一日清|赖有旧游三五伴|白云窝里夜灯明
越中山水绝纤尘|溪口风光步步新|若得会稽藏拙去|白云深处亦行春
野性由来不入群|历阶穿窦恣纷纷|主人自有茅庐在|好去山中吠白云
湖上千峰带落晖|白云开处见柴扉|松门一径仍生草|应是仙人向郭稀
结茅深住白云窝|人迹何如鸟迹多|村坞月明闻犬吠|定知山虎夜深过
二月江乡已落梅|飞花散作白云堆|且𢬵醉卧山窗下|疏影还从月下来
长风暂扫瘴烟消|屈指阳和又一朝|红树白云山四面|可人诗景自相撩
不见茅斋旧隐君|绕溪烟树暮纷纷|断桥水满无人渡|谁向青山管白云
白云碧树两相宜|踏落辛夷第一枝|王母灵桃今已熟|使星何事出瑶池
西原驿路挂城头|客散红亭雨未收|君去试看汾水上|白云犹似汉时秋
安罢储宫便又回|商山高卧白云堆|刘家大事虽能定|也堕留侯计出来
几年不到竹梅闲|天际归来两鬓斑|一片白云风埽尽|双明喜见旧青山
忆昔走马寻丹丘|醉卧白云溪上楼|黄石桥东两松树|一夜水长到梢头
短纸垂垂茧瓮开|白云堆里绝纤埃|东风吹醒罗浮梦|便觉春从天上来
鸟啼花老旅魂销|楚水巫峰入望遥|雨过江流添几尺|白云一带锁山腰
锦峰重叠雪交加|散尽白云见日华|策杖莫辞山路远|试穿林麓探梅花
十里曾闻一啸声|当年猿鹤想犹惊|白云不碍青天路|赢得重来攞手行
当处心安即洞天|黄连一炷胜龙涎|闲房幸自无人到|谁放白云来枕前
最爱仙人卧白云|一竿来此钓红鳞|我今不学磻溪叟|行作宗雷社里人
闻说虞山有道澄|白云深处不闻扃|自言古佛何为者|只是无心一老僧
晓行不厌湖上山|别有天地非人间|安得移家此中老|白云常在水潺潺
来从千山万山里|归向千山万山去|山中白云千万重|却望人间不知处
朱顶千年去不回|两峰南北白云堆|谁人得似黄公子|不爱闲花尚爱梅
泉落青山出白云|萦村绕郭几家分|自从引作池中水|深浅方圆一任君
晚晴公馆有馀闲|独上危楼望远山|散尽白云收尽雨|归鸦背得夕阳还
山横鸟外白云边|酒满秋风落帽前|老子要诗那得句|湖天欲买不须钱
朝闭松关晚放参|白云深处礼瞿昙|杖藜散步无人伴|独自归来月满庵
深湖两岸白云秋|芦荻花深隐钓舟|回首平原风浪急|却怜江海是安流
溪上长桥对水扉|野翁来往澹忘机|白云隔断人间世|尘土何缘得上衣
罗浮山下白云深|一枕师雄梦未成|残雪初消明月上|东风吹彻玉箫声
十里遥闻下院钟|到门空见白云封|老僧久住情偏淡|惟有春山色最浓
白云湖上白云飞|长白山中去不归|君在几峰秋色遍|何人共结薜萝衣
昔日武王东阅师|龙争虎斗至今悲|漂自化为商地水|白云翻作孟津旗
宝树林中避世情|琴囊长挂白云层|蒲团学得枯禅坐|合作东轩长老称
蓝田咫尺接商颜|谁是丹成出世间|老鹤无声人已远|白云空自锁空山
坐看青天起白云|化成龙子钑银鳞|霎时塞得青天满|只见龙鳞不见身
山围书院好峰多|行处新诗日几何|中有幽栖人不到|绿萝深洞白云窝
鹤发苍颜太古心|采芝共入白云深|只因误到长安寺|惹得人间说至今
竹色隐波流不去|莲香浮坐断还闻|诛茅结宇才方丈|占尽清风与白云
兰舟晓发潞河坝|思入平沙路几千|想淂到家寻旧业|白云书屋尚依然
行尽吴山过越山|白云犹是几重关|若寻汗漫相期处|更在孤鸿灭没间
蓬阁桃源两处分|人间海上不相闻|一朝琴里悲黄鹤|何日山头望白云
凤峤钟声出白云|更无一字可呈君|洪音敲落西山日|借问下方闻未闻
北堂犹绿旧时萱|寒暑无繇复凊温|戏彩岩边白云下|慈颜彷佛尚如存
一局忘言意若何|古松流水白云多|回看石室山前路|肯信樵夫有烂柯
帘外群山当画屏|白云如水度中庭|松花落径无人扫|失却莓苔一半青
师子峰高压白云|当时此老最尖新|百年旧事谁昭洗|今日南来又蜀人
五色灵芝五粒松|往来长蹑白云踪|画师未许君丘壑|不写清溪一片峰
千涧淙淙一径通|长松尽入白云中|徵君更在山深处|满谷桃花烂熳红
西风袅袅起林阿|一夜新凉到薜萝|人在空江秋影里|青山不似白云多
引泉近注白云根|𣃁地新成翠竹园|为惜苔痕斜贴石|爱因松树特开门
萧萧落叶委空山|幽磴添苔护石阑|一自三平骑虎去|至今龛洞白云寒
宦游飘忽十年间|持节重来见旧山|惟有潺湲庭下水|无心犹伴白云闲
已换春衫别后衣|此心长共白云飞|高堂寿酒年年事|趁取榴花及早归
山在云中人在山|人居山与白云闲|也须认得瑶田路|方见青云一望间
秋落河干气亦清|黄流相对白云行|大梁晓气千波卷|留与文光一派明
清溪南面是陈山|列嶂舒屏紫翠间|几度捲帘成晚对|白云时共鹤飞还
秋风淅淅吹碧虚|白云鳞鳞如卧鱼|共君今夜赏明月|兴来谁欲骑蟾蜍
仙冠鹊尾汉宫裁|金粟岩花日日开|此是淮南宾客地|白云还待八公来
风气萧森柳叶黄|倚阑极目海天长|白云飞处亲庭在|缩地何由到故乡
轻轻踏破白云堆|半为寻僧半探梅|僧不逢兮梅未放|野猿笑我却空回
霜落林端万壑幽|白云红叶入溪流|朝来尚有寻真至|共向山亭领素秋
竹作阑干树作轩|菜畦正傍槿编门|白云满地留春住|只对青山无一言
瘦竹长松万仞山|白云深处小禅关|忘机人到忘机处|一缕春风尽日闲
晴雷碾破白云窝|无数林华衮下坡|好把辘轳翻转着|昆仑顶上卷黄河
万点飞泉下白云|似帘悬处望疑真|若将此水为霖雨|更胜长垂隔路尘
早年声誉遍词林|懒向金门作陆沉|小隐不妨泉石侣|薜衣藜杖白云深
招隐寻春又鹤林|白云相伴亦禅心|请看古寺阶前竹|依旧斜阳半院阴
龛中破衲自持行|树下禅床坐一生|来往白云知岁久|满山猿鸟会经声
危峰上面更危峰|特地无梯上碧空|遥望白云生绝顶|如今身在白云中
山上有山归未得|白云归处寄乡心|三年一别不相见|先垄应添碧满林
白云捲尽千峰外|清逼山人懒下台|擎汉碧梧疏影月|夜深留照鹤飞回
当年鸡犬白云中|屋角榴花带露浓|洞口只今无处觅|唯馀碧水绕青榕
猿啼夹涧声逾远|鹤啄荒苔迹更清|身在千林头上立|忽从脚底白云生
瞿昙一学便超群|十载辞家住白云|占断洞天林屋地|青山不许世人分
每同南郭先生到|今伴东牟太守来|自顾拙疏聊自乐|白云径里踏荒苔
南湖秋水夜无烟|耐可乘流直上天|且就洞庭赊月色|将船买酒白云边
已共安期汗漫游|海天空望白云秋|骖麟跨凤知何处|应在三山与十洲
玉川鹤避卢仝啜|盘谷猿惊李愿归|兴尽携筇一回首|西风拂拂白云飞
一官万里向西行|雪锦楼高别驾登|若问野人何处所|朱陵洞里白云层
山后山前暝不分|草堂无径觅徵君|惟馀玉气无藏处|散入空青作白云
直上龙威万石梯|翠萝遮日白云低|须臾又作沙鸥伴|筏上吟诗下浅溪
四峰孤耸郁苍苍|新构僧庐傍野塘|林下雨晴春昼暖|松花薰得白云香
遥泉滴滴度更迟|秋夜霜天入竹扉|明月自随山影去|清风长送白云归
海国裁成别样新|白云一片净无尘|流苏香煖懵腾处|可有梅花梦里春
千山猿叫月如昼|万籁风号天正秋|雾湿苍苔烟漠漠|白云飞梦过瀛洲
君过秋浦正逢秋|亦到枞阳皖水头|九派先将明月去|三峰少为白云留
驴载新诗仆抱琴|白云幽径夕阳林|天风十里青松顶|满耳笙箫太古音
飘飘空里落天花|静听山僧讲法华|我亦平生无住著|白云深处即为家
自知无业致吾君|只向春山弄白云|已共此山私断当|不须转辙重移文
万斛明珠万叠雷|分明激破白云堆|何因捲上银河去|莫放濑溪桥下来
年年老菊费栽难|每到秋来借倚阑|老我白云红树子|如今都作此花看
数间茅屋柳成阴|中有幽人抱一琴|欲访桃溪无觅处|桃溪更在白云深
不暇参禅不暇文|支颐兀兀坐南薰|年来病骨千金重|出岫无心愧白云
青嶂千重水一湾|白云半坞屋三间|王孙归去休招隐|免被移文笑北山
高楼上逼斗牛寒|何事伊人日倚阑|最是千秋堪洒泪|紫云山作白云看
可喜公居近白云|眼前尘事少纷纷|纱橱竹簟偏宜睡|五月庭除不聚蚊
凿破青山两壁开|石头路上踏成埃|梅花自与白云笑|几见夷齐出岭来
云阵纤纤洗花雨|深竹新闻子规语|青山白云吾定居|枯肠那著归思虑
湛湛清江叠叠山|白云白鸟在其间|渔翁醉睡又醒睡|谁道皇天最惜闲
白云堆里藏三户|苍黛光边漾一身|恋向深深成幻杳|夜来幽梦恐伤神
共持瑶草下天关|万里秋风吹别颜|马上白云晴不散|知君到处问青山
一线飞泉绕碧萝|白云来往暗山阿|雨中贪共樵人语|行过庵前路忽多
推篷四望水连空|一片蒲帆正饱风|山际白云云际月|子规声在白云中
雪藕铢衣不自珍|人间丝枲谩纷纭|何如小白花山上|别剪彤霞与白云
十幅溪藤皱縠纹|梅花梦里閟氤氲|裴航莫作瑶台想|约取希夷共白云
翠峰高与白云闲|吾祖曾居水石间|千载家风应未坠|子孙还解爱青山
上人别后未能参|一首新诗自北南|萧寺深沉香火冷|白云闲锁旧禅庵
清油浊酒慰家贫|老子山中但白云|君欲看云须久坐|晴窗端为起炉熏
青天去人不咫尺|白云映我作坡陀|奔星直下不知处|料得人间风雨多
鸣鹤仙人去不归|秋风凉到女萝衣|白云也是无心物|长傍溪山好处飞
草堂未可便移文|自煮清香碧涧芹|更向白云深处宿|山头回首谢诸君
洞口时时护白云|莫教容易入红尘|更须检点桃花片|流出溪前惹世人
鸟未投林日未曛|松头野鹤自成群|肩舆归去身强健|处处青山有白云
白云冉冉度南园|绿柳明花处处然|云物无心心自适|优游无我我忘年
